obsolete_hs10,obsolete_desc_en,new_hs10,new_desc_en,same_code,mechanical_relation,mapping_type,source_file,checked_on
1516200090,"Veg fats,oils & fractions,nes,hydrog,inter/re-esterified,etc,not further prep",1516200090,"Veg fats & oil,fract hydrog,inter/re-esterified,etc,w/n ref'd,n furth prepr,nes",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
1516200090,"Veg fats,oils & fractions,nes,hydrog,inter/re-esterified,etc,not further prep",1516300000,"Microbial fats & oils & fractions,hydrog,elaidinized,etc,w/n ref'd,n furth prepr",False,same heading,split,conc-10-stats-2022.xlsx,2026-09-07
1704909090,"Sugar, confectionery, nes, including white chocolate, not containing cocoa",1704909090,"Sugar, confectionery, nes, including white chocolate, not containing cocoa",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
1901903390,"Food prep,nes,o/t ret,of Nos 04.01 to 04.04, >10%<50% wt of dry milk solids, w/a",1901903390,"Food prep,nes,o/t ret,of Nos 04.01 to 04.04, >10%<50% wt of dry milk solids, w/a",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
1901903490,"Food prep,nes,o/t ret,of Nos 04.01 to 04.04, >10% <50% wt of dry milk solids,o/a",1901903490,"Food prep,nes,o/t ret,of Nos 04.01 to 04.04, >10%<50% wt of dry milk solids, o/a",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
1901903990,"Food prep,nes,of goods of Nos 04.01 to 04.04, >10% <50% of dry milk solids",1901903990,"Food prep, goods of Nos 04.01 to 04.04,cont > 10 % < 50 % wt dry milk solids,nes",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
1901904090,"Food preparations, of Nos 04.01 to 04.04, <=10% wt of dry milk solids",1901904090,"Food preparations, of Nos 04.01 to 04.04,containing <=10% wt dry milk solids,nes",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
1901905300,"Food preparations,nes,o/t ret,of Nos 04.01 to 04.04,>=50% of dry milk solids,w/a",1901905300,"Food prep,nes,o/t ret,of Nos 04.01 to 04.04,cont >=50% wt of dry milk solids,w/a",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
1901905400,"Food preparations,nes,o/t ret,of Nos 04.01 to 04.04,>=50% of dry milk solids,o/a",1901905400,"Food prep,nes,o/t ret,of Nos 04.01 to 04.04,cont >=50% wt of dry milk solids,o/a",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
1901905900,"Food preparations, nes, of Nos 04.01 to 04.04, >= 50% of dry milk solids",1901905900,"Food preparations, nes, of Nos 04.01 to 04.04, cont >= 50% wt of dry milk solids",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
2106902100,"Syrups from cane/beet,w colouring matter,dry,>=90% by wt of sugar,no flavouring",2106902100,"Syrups from cane/beet,w colouring matter,dry,>=90 % by wt of sugar,no flavouring",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
2106902910,"Food concentrates and fruit syrups,nes,used in beverages/other food preparations",2106902910,"Food concentrates and fruit syrups,nes,used in beverages/other food preparations",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
2106902990,"Syrups from cane/beet, nes, with colouring matter",2106902990,"Syrups from cane or beet sugar, food concentrates and fruit syrups, nes",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
2106909999,"Food preparations, nes",2106909999,"Food preparations, nes",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
2202999090,"Waters and non-alcoholic beverages,nes,o/t fruit or vegetable juices of No 20.09",2202999090,"Waters & non-alcoholic beverages,o/t fruit/nut/vegetable juices of No 20.09, nes",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
2403919010,"Homogenized or reconstituted tobacco, nes, packaged",2403919010,"Homogenized or reconstituted tobacco, nes, packaged",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
2403919020,"Homogenized or reconstituted tobacco, nes, not packaged",2403919020,"Homogenized or reconstituted tobacco, nes, not packaged",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
2403919010,"Homogenized or reconstituted tobacco, nes, packaged",2404110000,"Products cont tobacco/reconstituted tobacco,intended f inhalation w/o combustion",False,same chapter,many to many,conc-10-stats-2022.xlsx,2026-09-07
2403919020,"Homogenized or reconstituted tobacco, nes, not packaged",2404110000,"Products cont tobacco/reconstituted tobacco,intended f inhalation w/o combustion",False,same chapter,many to many,conc-10-stats-2022.xlsx,2026-09-07
3824990021,"Mixtures used in vaping devices,including e-cigarettes & atomizers,cont nicotine",2404120000,"Products containing nicotine,intended for inhalation w/o combustion",False,different chapter,one to one,conc-10-stats-2022.xlsx,2026-09-07
3824990029,"Mixtures used in vaping devices,incl e-cigarettes & atomizers,not cont nicotine",2404190000,"Products cont tobacco/nicotine substitues,intended for inhalation w/o combustion",False,different chapter,one to one,conc-10-stats-2022.xlsx,2026-09-07
2106901010,"Chewing gum, containing 2 mg or more of nicotine",2404910010,"Chewing gum, containing 2 mg or more of nicotine",False,different chapter,one to one,conc-10-stats-2022.xlsx,2026-09-07
3824990090,"Chemical products and preparations of the chemical or allied industries, nes",2404910090,"Products containing nicotine, oral application, for intake into human body, nes",False,different chapter,split,conc-10-stats-2022.xlsx,2026-09-07
3824990010,Fatty substances of animal or vegetable origin and mixtures thereof,2404920000,"Products cont nicotine, nes, transdermal application, for intake into human body",False,different chapter,many to many,conc-10-stats-2022.xlsx,2026-09-07
3824990090,"Chemical products and preparations of the chemical or allied industries, nes",2404920000,"Products cont nicotine, nes, transdermal application, for intake into human body",False,different chapter,many to many,conc-10-stats-2022.xlsx,2026-09-07
3824990010,Fatty substances of animal or vegetable origin and mixtures thereof,2404990000,"Products cont nicotine,intended f the intake of nicotine into the human body,nes",False,different chapter,many to many,conc-10-stats-2022.xlsx,2026-09-07
3824990090,"Chemical products and preparations of the chemical or allied industries, nes",2404990000,"Products cont nicotine,intended f the intake of nicotine into the human body,nes",False,different chapter,many to many,conc-10-stats-2022.xlsx,2026-09-07
2710129099,"Light oils and preparations, nes",2710129094,"Light oils and preparations, natural gasoline derived wholly from natural gas",False,same subheading,split,conc-10-stats-2022-1.xlsx,2026-09-07
